id,sourceNo,location,locationCode,locationNo,localName,scientificName,family,usedParts,processing,plantCategories,plantCategoryCount,diseaseCategories,diseaseCategoryCount
1,1,Fakultas Ilmu Kesehatan,FIKES,1,Kalatea,Calathea lutea (Aubl.) E.Mey. ex Schult.,Marantaceae,Daun,"Daun segar diperas dan sarinya digunakan langsung secara topikal pada mata; daun juga diekstraksi melalui maserasi dingin, Soxhlet, dan distilasi uap, kemudian dipartisi/fraksinasi dengan pelarut organik.",Tanaman Obat; Tanaman Estetik,2,Gangguan Mata (Oftalmologi); Penyakit Infeksi,2
2,2,Fakultas Ilmu Kesehatan,FIKES,2,Dianella,Dianella ensifolia (L.) Redouté,Asphodelaceae,Akar; bagian aerial (daun dan batang),Akar diekstraksi dengan metanol dan senyawanya diisolasi melalui kromatografi; bagian aerial dihidrodistilasi untuk memperoleh minyak atsiri; ekstrak juga diformulasikan secara topikal.,Tanaman Obat; Tanaman Estetik,2,Gangguan Kulit (Dermatologi); Penyakit Infeksi; Gangguan Onkologi (Kanker),3
3,3,Fakultas Ilmu Kesehatan,FIKES,3,Drasena tutul,Dracaena surculosa Lindl.,Asparagaceae,Belum ditemukan bagian terapeutik yang terverifikasi.,Belum ditemukan cara pengolahan terapeutik yang terverifikasi.,Tanaman Estetik; Tanaman Toksik,2,,0
4,4,Fakultas Ilmu Kesehatan,FIKES,4,Helikonia,Heliconia psittacorum L.f.,Heliconiaceae,Daun,"Daun dimaserasi dengan metanol; ekstrak kemudian dipartisi menjadi fraksi kloroform dan fraksi air untuk pengujian antiproliferatif, sitotoksik, dan antioksidan.",Tanaman Obat; Tanaman Estetik,2,Gangguan Onkologi (Kanker),1
5,5,Fakultas Ilmu Kesehatan,FIKES,5,Ketapang kencana,Terminalia mantaly H.Perrier,Combretaceae,Daun; kulit batang; akar,"Serbuk kering daun, kulit batang, dan akar dimaserasi dengan air atau metanol; ekstrak tertentu difraksinasi dengan heksana, kloroform, dan etil asetat; kulit batang juga diekstraksi dan diisolasi secara kromatografi.",Tanaman Obat; Tanaman Estetik,2,Gangguan Endokrin; Penyakit Infeksi,2
6,6,Fakultas Ilmu Kesehatan,FIKES,6,Kedondong laut hias,Polyscias fruticosa (L.) Harms,Araliaceae,Daun; akar; pucuk/daun muda,"Daun muda dimakan mentah atau setelah direbus/dimasak dalam sup dan masakan; daun dan akar dibuat sebagai rebusan atau diekstraksi dengan air, etanol, dan pelarut lipofilik untuk pengujian farmakologi.",Tanaman Obat; Tanaman Estetik; Tanaman Buah dan Sayuran,3,Gangguan Sistem Pernapasan; Gangguan Sistem Pencernaan; Gangguan Sistem Saraf; Gangguan Endokrin; Gangguan Reumatologi; Penyakit Infeksi,6
7,7,Fakultas Ilmu Kesehatan,FIKES,7,Palem kuning,Chrysalidocarpus lutescens H.Wendl.,Arecaceae,Daun,Daun diekstraksi dengan etanol/alkohol dan dipisahkan secara kromatografi; ekstrak daun juga digunakan dalam sintesis hijau nanopartikel perak untuk uji antibakteri.,Tanaman Obat; Tanaman Estetik,2,Gangguan Sistem Pencernaan; Penyakit Infeksi,2
8,8,Fakultas Ilmu Kesehatan,FIKES,8,Soka merah,Ixora coccinea L.,Rubiaceae,Daun; bunga; akar; kulit batang; buah,"Bagian tanaman digunakan sebagai rebusan/dekokta, infusa, tumbukan atau sediaan topikal; penelitian menggunakan ekstrak metanol, etanol, dan alkohol serta fraksinasi pelarut.",Tanaman Obat; Tanaman Estetik; Tanaman Buah dan Sayuran,3,Gangguan Kardiovaskular; Gangguan Sistem Pencernaan; Gangguan Psikiatri; Gangguan Ginekologi dan Obstetri; Gangguan Mata (Oftalmologi); Gangguan Kulit (Dermatologi); Penyakit Infeksi; Gangguan Onkologi (Kanker),8
9,9,Fakultas Ilmu Kesehatan,FIKES,9,Sambang darah hias,Excoecaria cochinchinensis Lour.,Euphorbiaceae,Bagian aerial; daun,"Bagian aerial dikeringkan, diserbukkan, dan diekstraksi berulang dengan metanol; ekstrak dipartisi bertahap dengan n-heksana, campuran n-heksana-etil asetat, dan etil asetat; penelitian lain menggunakan ekstrak air atau etanol daun.",Tanaman Obat; Tanaman Estetik; Tanaman Toksik,3,Gangguan Sistem Pencernaan; Gangguan Endokrin; Gangguan Urologi; Gangguan Kulit (Dermatologi); Penyakit Infeksi; Gangguan Onkologi (Kanker),6
10,10,Fakultas Ilmu Kesehatan,FIKES,10,Paku tanduk rusa,Platycerium bifurcatum (Cav.) C.Chr.,Polypodiaceae,Daun/ental (frond),Daun dikeringkan lalu diekstraksi dengan etanol; ekstrak dipartisi dengan air dan kloroform untuk uji antibakteri/antioksidan; ekstrak etanol diberikan secara oral pada model tikus ulkus lambung.,Tanaman Obat; Tanaman Estetik,2,Gangguan Kardiovaskular; Gangguan Sistem Pernapasan; Gangguan Sistem Pencernaan; Gangguan Ginekologi dan Obstetri; Penyakit Infeksi,5
11,11,Fakultas Ilmu Kesehatan,FIKES,11,Kelapa,Cocos nucifera L.,Arecaceae,"Akar; daun; bunga/perbungaan; buah (air kelapa/endosperma cair, daging/endosperma padat, santan, minyak, sabut/mesokarp, dan tempurung/endokarp).","Air dan daging buah digunakan segar; daging diperas menjadi santan; minyak diperoleh dari kopra/daging buah; akar, daun, bunga, sabut, tempurung, dan bagian buah dibuat sebagai dekokta atau ekstrak air, etanol, metanol, dan pelarut lain untuk pengujian; beberapa sediaan digunakan oral atau topikal sesuai literatur.",Tanaman Obat; Tanaman Estetik; Tanaman Toksik; Tanaman Buah dan Sayuran,4,Gangguan Kardiovaskular; Gangguan Sistem Pencernaan; Gangguan Ginjal; Gangguan Sistem Saraf; Gangguan Endokrin; Gangguan Reumatologi; Penyakit Infeksi; Gangguan Onkologi (Kanker),8
