id,folder,location_no,location,location_code,scientific_name
1,01_FIKES,1,Fakultas Ilmu Kesehatan,FIKES,Calathea lutea
2,01_FIKES,2,Fakultas Ilmu Kesehatan,FIKES,Dianella ensifolia
3,01_FIKES,3,Fakultas Ilmu Kesehatan,FIKES,Dracaena surculose
4,01_FIKES,4,Fakultas Ilmu Kesehatan,FIKES,Heliconia psittacorum
5,01_FIKES,5,Fakultas Ilmu Kesehatan,FIKES,Terminalia mantaly
6,01_FIKES,6,Fakultas Ilmu Kesehatan,FIKES,Polyscias fruticose
7,01_FIKES,7,Fakultas Ilmu Kesehatan,FIKES,Chrysalidocapus lutescens
8,01_FIKES,8,Fakultas Ilmu Kesehatan,FIKES,Lxora coccinea L
9,01_FIKES,9,Fakultas Ilmu Kesehatan,FIKES,Excoecaria cochinchinensis lour
10,01_FIKES,10,Fakultas Ilmu Kesehatan,FIKES,Platycerium bifurcatum
11,01_FIKES,11,Fakultas Ilmu Kesehatan,FIKES,Cocos nucifera L
12,01_FIKES,12,Fakultas Ilmu Kesehatan,FIKES,Lxora chinensis lam
13,01_FIKES,13,Fakultas Ilmu Kesehatan,FIKES,Helconia psttacorum L. F
14,01_FIKES,14,Fakultas Ilmu Kesehatan,FIKES,Platycladus orientalis
15,01_FIKES,15,Fakultas Ilmu Kesehatan,FIKES,Hibiscus schizopetalus
16,01_FIKES,16,Fakultas Ilmu Kesehatan,FIKES,Canna x hybrida
17,01_FIKES,17,Fakultas Ilmu Kesehatan,FIKES,Casuarina equisetifolia
18,01_FIKES,18,Fakultas Ilmu Kesehatan,FIKES,Alcantarea imperialis
19,01_FIKES,19,Fakultas Ilmu Kesehatan,FIKES,Justicia gendarussa
20,01_FIKES,20,Fakultas Ilmu Kesehatan,FIKES,Alternanthera brasiliana
21,01_FIKES,21,Fakultas Ilmu Kesehatan,FIKES,Breynia disticha
22,01_FIKES,22,Fakultas Ilmu Kesehatan,FIKES,Premma serratifolia L
23,01_FIKES,23,Fakultas Ilmu Kesehatan,FIKES,Bougainvillea glabra choisy
24,01_FIKES,24,Fakultas Ilmu Kesehatan,FIKES,Ficus pumila L
25,01_FIKES,25,Fakultas Ilmu Kesehatan,FIKES,Chrysalidocarpus lutescens H.wendl
26,01_FIKES,26,Fakultas Ilmu Kesehatan,FIKES,Plumeria rubra L
27,01_FIKES,27,Fakultas Ilmu Kesehatan,FIKES,Rhapis excelsa
28,01_FIKES,28,Fakultas Ilmu Kesehatan,FIKES,Vitis rotundifolia
29,01_FIKES,29,Fakultas Ilmu Kesehatan,FIKES,Dracaena draco
30,01_FIKES,30,Fakultas Ilmu Kesehatan,FIKES,Dracaena trifasciata
31,01_FIKES,31,Fakultas Ilmu Kesehatan,FIKES,Neoregelia farinose
32,01_FIKES,32,Fakultas Ilmu Kesehatan,FIKES,Axonopus compressus
33,01_FIKES,33,Fakultas Ilmu Kesehatan,FIKES,Psidium guajava L
34,01_FIKES,34,Fakultas Ilmu Kesehatan,FIKES,Citrus x aurantium
35,01_FIKES,35,Fakultas Ilmu Kesehatan,FIKES,Ricinus communis L
36,01_FIKES,36,Fakultas Ilmu Kesehatan,FIKES,Breynia androgyna
37,01_FIKES,37,Fakultas Ilmu Kesehatan,FIKES,Podocarpus macrophyllus
38,01_FIKES,38,Fakultas Ilmu Kesehatan,FIKES,Araucaria columnaris
39,01_FIKES,39,Fakultas Ilmu Kesehatan,FIKES,Diospyros blancoi
40,01_FIKES,40,Fakultas Ilmu Kesehatan,FIKES,Ficus carica
41,01_FIKES,41,Fakultas Ilmu Kesehatan,FIKES,Lantana canescens
42,01_FIKES,42,Fakultas Ilmu Kesehatan,FIKES,Podocarpus macrophyllus
43,01_FIKES,43,Fakultas Ilmu Kesehatan,FIKES,Tabebuia aurea
44,01_FIKES,44,Fakultas Ilmu Kesehatan,FIKES,Lantana canescens
45,01_FIKES,45,Fakultas Ilmu Kesehatan,FIKES,Capsicum chinense jacq
46,01_FIKES,46,Fakultas Ilmu Kesehatan,FIKES,Solanum erianthum
47,01_FIKES,47,Fakultas Ilmu Kesehatan,FIKES,Persea americana
48,01_FIKES,48,Fakultas Ilmu Kesehatan,FIKES,Carica papaya L
49,01_FIKES,49,Fakultas Ilmu Kesehatan,FIKES,Muntingia calabura L
50,01_FIKES,50,Fakultas Ilmu Kesehatan,FIKES,Rivina humilis L
51,01_FIKES,51,Fakultas Ilmu Kesehatan,FIKES,Heptapleurum arboricola hayata
52,01_FIKES,52,Fakultas Ilmu Kesehatan,FIKES,Celosia argentea L
53,01_FIKES,53,Fakultas Ilmu Kesehatan,FIKES,Cascabela thevetia
